Región,Localidad,Dirección Oficina,Teléfono,Horario Atención al Público,Buzón Zona de Profesionales,Latitud,Longitud
Suroeste,Urrao,Carrera 30 N.  29- 56,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.317258527,-76.13417405
Norte y BC.,Don Matías,Carrera 32 No. 29 - 69,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.484943458,-75.39672495
Norte y BC.,Caucasia,Carrera 5 # 24 – 28,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.98972412,-75.19318433
Occidente,Abriaquí,Cra 10 No. 10-08,4444115 - 01800415115,"Esta oficina abre solo dos veces al mes y dicha programación es mensual, generalmente son los jueves.",Servicio.Cliente.Occidente@epm.com.co,6.631976054,-76.06460783
Occidente,Anzá,Calle 11  No 10-40,4444115 - 01800415115,Jueves y viernes de 08:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 04:00 p.m.,epm@epm.com.co,6.303626996,-75.85412408
Suroeste,Venecia,"Carrera Benjamin Herrera, Parque principal",4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.963372651,-75.7333401
Norte y BC.,Santa Rosa de Osos,Carrera 31 N° 29-17,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.64812782,-75.46139821
Suroeste,Betulia,Carrera 20 No 19 - 54,4444115 - 01800415115,"Lunes, martes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,6.112926078,-75.98445126
Occidente,Buriticá,Carrera 4  N. 4 -38,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.72006393,-75.90683481
Norte y BC.,Belmira,Calle 21  No 20-26,4444115 - 01800415115,Miércoles de 08:00 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.606918369,-75.66740477
Oriente,San Luís,Calle  20 N. 20-67,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.042222,-74.993333
Norte y BC.,Yarumal,Carrera  19 # 20 - 60,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.963333,-75.4172
Norte y BC.,Puerto Valdivia,Calle debajo del puente,4444115 - 01800415115,Viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.165848448,-75.43780002
Metropolitana Sur,La Estrella,Calle  80 Sur  N°59 - 14,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p.m.  Jornada Continúa,epm@epm.com.co,6.15800511,-75.64308947
Urabá,Carepa,"Carrera 78 A No 76 - 24, Barrio El Consuelo",4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.756938782,-76.65912865
Norte y BC.,Tarazá,CR 30 No. 30 - 24 Parque principall,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.580644317,-75.39985958
Nordeste y MM.,Caracolí,Calle del Comercio  20 - 55,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.40864002,-74.75688158
Norte y BC.,Valdivia,Carrera 10  No. 10 - 26,4444115 - 01800415115,Lunes a jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.165314211,-75.43830869
Norte y BC.,Ituango,Cra 19 # 20-26,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.172718379,-75.76419136
Oriente,El Retiro,Carrera 20 No. 18-28 local 09 Centro Comercial La Casona,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.056371959,-75.50232159
Occidente,Sevilla,Calle  14 N.  07 - 06,4444115 - 01800415115,"Lunes de 09:30 a.m. a 12:00 m. y de 01:00 p.m. a 03:30 p.m.
Nota: cuando el lunes es festivo se atiende los días martes en el mismo horario",epm@epm.com.co,6.293836641,-75.78502057
Suroeste,Salgar,Carrera 31  N. 29-05,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.963250422,-75.97967661
Metropolitana Norte,Miguel de Aguinaga,Calle 52 No. 53 - 49,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a  05:30 p. m.  Jornada Continua,epm@epm.com.co,6.25200188,-75.56921711
Suroeste,Jardín,Carrera 5 N. 8 -76,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.598962982,-75.81989903
Oriente,San Rafael,Calle 22 nro. 19-43,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.295,-75.028055
Suroeste,Caramanta,Calle  19 Girardot  N. 20- 79 Parque Ppal.,4444115 - 01800415115,Martes y jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.548305163,-75.64484728
Nordeste y MM.,Yondó,Calle 54 No. 50 - 04 (es la de EDATEL),4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.006111,-73.908889
Metropolitana Centro,El Bosque,CL 73 CR 51 D -71 (Interior 1103 ) Centro Comercial Bosque Plaza en Medellín.,4444115 - 01800415115,Cerrada por contingencia Covid-19,epm@epm.com.co,6.26754032,-75.56580391
